query_id,latency_ms
q1,52.655
q2,29.657
q3,30.414
q4,28.111
q5,23.724
q6,27.516
q7,27.371
q8,27.757
q9,28.423
q10,25.646
q11,25.923
q12,23.458
q13,32.674
q14,31.996
q15,23.008
q16,24.626
q17,21.688
q18,21.678
q19,25.746
q20,22.74
q21,24.617
q22,23.478
q23,23.559
q24,21.916
q25,23.09
q26,22.086
q27,23.585
q28,22.547
q29,26.344
q30,24.263
q31,22.63
q32,22.95
q33,25.011
q34,29.287
q35,22.198
q36,21.333
q37,23.074
q38,25.349
q39,29.546
q40,62.067
q41,55.335
q42,45.08
q43,45.774
q44,43.857
q45,32.712
q46,32.223
q47,29.536
q48,42.056
q49,25.208
q50,25.826
q51,32.074
q52,30.264
q53,30.805
q54,35.579
q55,33.774
q56,27.78
q57,27.754
q58,34.945
q59,30.508
q60,28.414
q61,33.147
q62,27.759
q63,23.968
q64,24.179
q65,23.5
q66,27.481
q67,25.827
q68,25.743
q69,23.487
q70,24.4
q71,23.1
q72,23.733
q73,24.272
q74,27.853
q75,22.917
q76,25.029
q77,22.345
q78,28.216
q79,23.513
q80,23.339
q81,24.647
q82,23.086
q83,30.53
q84,24.221
q85,26.082
q86,25.431
q87,22.48
q88,24.692
q89,25.9
q90,24.489
q91,27.848
q92,26.477
q93,25.687
q94,26.628
q95,29.166
q96,27.506
q97,31.462
q98,25.037
q99,34.98
q100,25.604
