query_id,latency_ms
q1,217.062
q2,24.47
q3,27.549
q4,24.463
q5,21.371
q6,22.521
q7,23.726
q8,23.964
q9,22.456
q10,27.12
q11,27.264
q12,21.195
q13,21.732
q14,20.538
q15,21.084
q16,21.182
q17,21.597
q18,20.299
q19,21.561
q20,20.727
q21,21.662
q22,20.61
q23,21.965
q24,26.777
q25,26.604
q26,26.642
q27,24.361
q28,24.322
q29,24.354
q30,22.898
q31,19.703
q32,20.828
q33,22.156
q34,19.82
q35,22.12
q36,25.008
q37,20.578
q38,23.746
q39,20.392
q40,20.323
q41,23.031
q42,18.857
q43,20.165
q44,19.95
q45,19.342
q46,23.371
q47,21.239
q48,19.554
q49,21.001
q50,18.875
q51,20.123
q52,29.734
q53,20.607
q54,24.704
q55,22.748
q56,22.741
q57,20.849
q58,19.795
q59,30.675
q60,20.228
q61,22.318
q62,21.455
q63,21.637
q64,22.48
q65,19.63
q66,23.169
q67,21.641
q68,20.396
q69,30.952
q70,22.179
q71,21.242
q72,21.256
q73,21.514
q74,20.543
q75,29.127
q76,20.921
q77,19.728
q78,19.461
q79,21.825
q80,22.663
q81,19.598
q82,21.997
q83,19.698
q84,29.038
q85,19.374
q86,19.847
q87,19.445
q88,28.773
q89,19.864
q90,19.719
q91,28.301
q92,25.022
q93,23.036
q94,20.925
q95,24.515
q96,21.741
q97,21.439
q98,22.272
q99,22.727
q100,25.366
