query_id,embedding_ms,retrieval_ms,reranking_ms,llm_ms,total_ms
q1,247.145,25.205,0.0,0.0,274.238
q2,24.302,5.98,0.0,0.0,32.395
q3,20.147,8.085,0.0,0.0,31.195
q4,21.92,6.781,0.0,0.0,30.255
q5,17.628,5.26,0.0,0.0,24.302
q6,15.811,5.587,0.0,0.0,22.769
q7,15.12,5.527,0.0,0.0,22.13
q8,20.36,5.374,0.0,0.0,27.486
q9,15.1,5.213,0.0,0.0,22.269
q10,16.187,5.594,0.0,0.0,23.561
q11,14.167,4.59,0.0,0.0,20.5
q12,15.831,7.515,0.0,0.0,25.328
q13,15.431,5.441,0.0,0.0,23.162
q14,15.925,4.918,0.0,0.0,22.494
q15,14.41,5.056,0.0,0.0,21.075
q16,15.091,6.386,0.0,0.0,23.219
q17,18.024,5.594,0.0,0.0,25.13
q18,15.112,5.959,0.0,0.0,22.947
q19,14.871,7.325,0.0,0.0,23.893
q20,15.695,5.545,0.0,0.0,22.903
q21,16.196,5.836,0.0,0.0,23.742
q22,21.456,6.688,0.0,0.0,29.755
q23,17.519,6.06,0.0,0.0,25.224
q24,15.021,5.925,0.0,0.0,22.467
q25,18.03,7.353,0.0,0.0,26.956
q26,18.195,6.663,0.0,0.0,26.405
q27,15.542,6.381,0.0,0.0,23.785
q28,18.829,6.102,0.0,0.0,26.517
q29,17.612,6.844,0.0,0.0,26.017
q30,15.085,6.654,0.0,0.0,23.274
q31,16.58,5.644,0.0,0.0,23.539
q32,15.44,5.92,0.0,0.0,24.371
q33,16.506,5.286,0.0,0.0,23.544
q34,14.796,5.081,0.0,0.0,21.739
q35,15.513,5.744,0.0,0.0,22.745
q36,17.134,8.902,0.0,0.0,28.419
q37,16.686,6.521,0.0,0.0,25.17
q38,14.188,5.32,0.0,0.0,20.992
q39,14.382,5.884,0.0,0.0,22.093
q40,16.559,7.092,0.0,0.0,25.671
q41,17.119,7.024,0.0,0.0,25.884
q42,24.682,6.247,0.0,0.0,32.425
q43,15.834,5.222,0.0,0.0,22.569
q44,14.767,5.548,0.0,0.0,22.109
q45,14.838,5.047,0.0,0.0,21.459
q46,13.823,6.233,0.0,0.0,22.006
q47,15.948,5.068,0.0,0.0,22.458
q48,15.261,5.973,0.0,0.0,22.851
q49,17.745,6.301,0.0,0.0,25.501
q50,17.106,5.537,0.0,0.0,24.137
q51,15.086,6.002,0.0,0.0,22.678
q52,15.955,6.08,0.0,0.0,24.553
q53,17.596,6.519,0.0,0.0,26.091
q54,22.734,6.454,0.0,0.0,31.421
q55,17.61,6.062,0.0,0.0,25.33
q56,17.203,7.785,0.0,0.0,27.521
q57,16.197,5.306,0.0,0.0,23.076
q58,15.109,5.584,0.0,0.0,22.382
q59,14.387,5.559,0.0,0.0,21.405
q60,17.407,5.714,0.0,0.0,24.665
q61,17.335,6.94,0.0,0.0,26.196
q62,76.09,9.09,0.0,0.0,87.498
q63,20.508,6.382,0.0,0.0,28.539
q64,17.535,6.387,0.0,0.0,25.427
q65,18.16,6.239,0.0,0.0,26.053
q66,14.661,5.311,0.0,0.0,21.671
q67,13.784,5.346,0.0,0.0,20.656
q68,17.397,7.084,0.0,0.0,25.901
q69,15.075,5.937,0.0,0.0,22.574
q70,13.68,6.797,0.0,0.0,21.892
q71,12.739,4.976,0.0,0.0,19.411
q72,15.936,5.878,0.0,0.0,23.343
q73,15.569,5.963,0.0,0.0,23.243
q74,18.659,5.87,0.0,0.0,26.037
q75,15.024,6.885,0.0,0.0,23.717
q76,15.438,4.935,0.0,0.0,22.12
q77,16.336,5.326,0.0,0.0,23.616
q78,19.583,6.564,0.0,0.0,27.629
q79,13.62,6.184,0.0,0.0,21.434
q80,12.979,4.795,0.0,0.0,19.622
q81,15.242,5.085,0.0,0.0,21.994
q82,14.084,5.005,0.0,0.0,20.548
q83,14.958,4.87,0.0,0.0,21.519
q84,13.343,5.152,0.0,0.0,19.987
q85,15.202,4.767,0.0,0.0,21.723
q86,12.987,5.154,0.0,0.0,19.636
q87,16.003,4.529,0.0,0.0,21.941
q88,15.342,5.168,0.0,0.0,22.174
q89,13.786,4.637,0.0,0.0,19.86
q90,13.152,5.089,0.0,0.0,19.716
q91,17.501,5.2,0.0,0.0,24.445
q92,14.53,4.818,0.0,0.0,21.028
q93,15.512,4.597,0.0,0.0,21.738
q94,14.552,4.804,0.0,0.0,20.682
q95,19.858,5.61,0.0,0.0,26.98
q96,17.129,4.986,0.0,0.0,23.496
q97,15.654,5.065,0.0,0.0,22.19
q98,16.268,5.355,0.0,0.0,23.198
q99,16.807,5.304,0.0,0.0,23.546
q100,14.196,5.652,0.0,0.0,21.586
